image_id,height,width,class_id,rad_id,x_min,y_min,x_max,y_max
9a5094b2563a1ef3ff50dc5c7ff71345,2334,2079,3,wbf,690.666675567627,1354.3332352638245,1658.6667137145996,1797.6666769981384
9a5094b2563a1ef3ff50dc5c7ff71345,2334,2079,0,wbf,1052.0,715.0,1299.0,966.0
9a5094b2563a1ef3ff50dc5c7ff71345,2334,2079,11,wbf,1789.0,1729.0,1875.0,1992.0
9a5094b2563a1ef3ff50dc5c7ff71345,2334,2079,10,wbf,1789.0,1729.0,1875.0,1992.0
051132a778e61a86eb147c7c6f564dfe,2880,2304,3,wbf,953.9999766349792,1304.999961078167,2043.666679084301,1672.9998943209648
051132a778e61a86eb147c7c6f564dfe,2880,2304,0,wbf,1281.3333753347397,734.3333916962147,1611.9999695420265,1050.3333477377892
051132a778e61a86eb147c7c6f564dfe,2880,2304,11,wbf,1592.0,452.0,1804.0,604.0
1c32170b4af4ce1a3030eb8167753b06,3072,2538,13,wbf,529.6666623950005,467.9999799281359,876.9999739229679,767.999999910593
1c32170b4af4ce1a3030eb8167753b06,3072,2538,13,wbf,1708.9999585747719,497.50000339746475,1901.5000346899033,743.0000058710575
1c32170b4af4ce1a3030eb8167753b06,3072,2538,11,wbf,1818.0000545978546,386.49999935925007,2046.0000002384186,599.4999790787697
1c32170b4af4ce1a3030eb8167753b06,3072,2538,13,wbf,1793.0,757.0,1972.0,917.0
1c32170b4af4ce1a3030eb8167753b06,3072,2538,11,wbf,627.0,357.0,947.0,433.0
0c7a38f293d5f5e4846aa4ca6db4daf1,2553,2283,5,wbf,123.99999926611781,126.00000178068876,1564.9999437332153,2170.9999719262123
0c7a38f293d5f5e4846aa4ca6db4daf1,2553,2283,9,wbf,161.0,56.0,2117.0,2213.0
0c7a38f293d5f5e4846aa4ca6db4daf1,2553,2283,8,wbf,458.0,792.0,669.0000000000001,962.0
0c7a38f293d5f5e4846aa4ca6db4daf1,2553,2283,5,wbf,1347.0000000000002,245.0,2188.0,2169.0
47ed17dcb2cbeec15182ed335a8b5a9e,3351,2568,8,wbf,554.3333094418049,2347.6666754484177,670.6667151451111,2476.3333634138107
47ed17dcb2cbeec15182ed335a8b5a9e,3351,2568,7,wbf,290.50000900030136,874.499998986721,1211.999953687191,2858.5000804662704
